Rk,Touches,Live,Succ,Att,Succ%
1,1839,1458,18,36,50.0
2,2133,1821,49,94,52.1
3,1856,1782,21,26,80.8
4,62,62,2,4,50.0
5,1176,1091,12,22,54.5
6,208,196,16,21,76.2
7,1072,1021,9,11,81.8
8,739,688,21,36,58.3
9,438,423,7,10,70.0
10,2365,2287,15,17,88.2
11,441,433,15,27,55.6
12,813,737,6,11,54.5
13,309,297,11,24,45.8
14,7,6,0,0,
15,70,68,4,4,100.0
16,112,98,1,3,33.3
17,33,28,3,4,75.0
18,737,697,24,42,57.1
19,338,244,0,0,
20,82,81,2,2,100.0
21,1182,964,26,45,57.8
22,1231,986,14,26,53.8
23,48,48,0,0,
24,47,47,2,2,100.0
25,402,396,21,33,63.6
26,717,700,1,2,50.0
27,572,551,27,45,60.0
28,926,816,15,26,57.7
29,129,128,0,1,0.0
30,409,405,10,13,76.9
31,1518,1475,11,15,73.3
32,1476,1243,56,94,59.6
33,470,463,6,12,50.0
34,996,846,19,41,46.3
35,33,32,0,0,
36,755,731,14,27,51.9
37,2161,2093,8,12,66.7
38,43,41,3,4,75.0
39,1508,1455,5,5,100.0
40,281,278,11,19,57.9
41,908,882,3,4,75.0
42,2662,2555,6,10,60.0
43,991,801,19,33,57.6
44,466,436,16,21,76.2
45,2322,2125,10,19,52.6
46,2663,2387,72,105,68.6
47,2261,2209,3,3,100.0
48,622,587,10,29,34.5
49,316,291,4,8,50.0
50,167,150,4,7,57.1
51,2018,1962,59,70,84.3
52,1330,1236,21,29,72.4
53,2265,2185,0,2,0.0
54,1436,1209,19,32,59.4
55,49,49,1,2,50.0
56,170,165,2,3,66.7
57,469,465,16,23,69.6
58,351,246,1,1,100.0
59,3520,2865,26,56,46.4
60,85,48,0,0,
61,656,610,23,30,76.7
62,984,760,0,0,
63,994,966,18,29,62.1
64,1132,1076,32,63,50.8
65,1309,1297,46,93,49.5
66,1313,1146,12,19,63.2
67,945,779,18,30,60.0
68,55,33,0,0,
69,569,560,6,9,66.7
70,1817,1754,11,13,84.6
71,1608,1510,2,3,66.7
72,838,787,33,50,66.0
73,470,464,2,3,66.7
74,343,341,3,4,75.0
75,1092,1071,28,43,65.1
76,36,34,4,8,50.0
77,1590,1379,28,56,50.0
78,312,310,24,45,53.3
79,837,697,8,18,44.4
80,1374,1221,32,54,59.3
81,93,92,0,0,
82,205,200,18,41,43.9
83,2087,2017,84,111,75.7
84,1476,1449,2,2,100.0
85,92,73,2,5,40.0
86,1163,1138,66,97,68.0
87,1211,1185,25,42,59.5
88,29,28,2,4,50.0
89,1515,1499,23,27,85.2
90,185,102,0,0,
91,1547,1511,27,38,71.1
92,719,698,18,21,85.7
93,276,258,11,16,68.8
94,490,357,2,2,100.0
95,1754,1380,20,24,83.3
96,891,742,21,27,77.8
97,477,429,5,8,62.5
98,12,12,1,1,100.0
99,726,653,12,18,66.7
100,1085,935,53,84,63.1
101,11,8,1,1,100.0
102,851,811,72,108,66.7
103,574,478,6,16,37.5
104,40,40,0,0,
105,3,3,0,0,
106,1181,1044,36,80,45.0
107,127,125,2,3,66.7
108,1366,1325,65,104,62.5
109,40,40,3,3,100.0
110,1158,967,21,27,77.8
111,1363,1318,29,43,67.4
112,68,58,0,2,0.0
113,1868,1836,13,22,59.1
114,447,427,26,38,68.4
115,1824,1763,1,1,100.0
116,233,229,1,1,100.0
117,1412,1266,4,6,66.7
118,142,104,0,0,
119,60,48,0,0,
120,780,667,4,7,57.1
121,4,4,0,0,
122,882,863,31,53,58.5
123,304,291,3,8,37.5
124,169,164,13,23,56.5
125,1860,1598,22,30,73.3
126,1133,881,0,0,
127,428,386,13,15,86.7
128,402,383,7,10,70.0
129,1123,752,1,1,100.0
130,203,198,6,8,75.0
131,43,43,2,3,66.7
132,1676,1585,60,97,61.9
133,192,189,16,20,80.0
134,21,21,0,0,
135,332,323,19,40,47.5
136,741,678,41,85,48.2
137,1248,1214,25,49,51.0
138,1127,727,1,1,100.0
139,916,790,21,30,70.0
140,80,79,8,12,66.7
141,665,539,6,9,66.7
142,2057,1789,46,73,63.0
143,724,644,12,27,44.4
144,575,554,15,33,45.5
145,103,103,4,7,57.1
146,1012,915,3,5,60.0
147,178,175,10,18,55.6
148,504,493,22,33,66.7
149,1366,1331,75,117,64.1
150,2017,1888,11,13,84.6
151,522,506,3,8,37.5
152,3273,2878,15,24,62.5
153,750,650,17,27,63.0
154,1614,1595,46,54,85.2
155,537,521,17,31,54.8
156,205,193,6,11,54.5
157,1157,1111,21,26,80.8
158,8,4,0,0,
159,7,7,0,0,
160,6,5,0,0,
161,340,320,3,13,23.1
162,1097,1067,11,15,73.3
163,637,591,43,74,58.1
164,87,87,1,1,100.0
165,820,799,0,1,0.0
166,255,203,1,2,50.0
167,23,13,0,0,
168,1233,1222,31,56,55.4
169,283,276,10,12,83.3
170,100,95,1,1,100.0
171,1524,1356,31,63,49.2
172,653,635,0,0,
173,417,401,6,12,50.0
174,1937,1641,43,67,64.2
175,618,601,17,30,56.7
176,317,261,1,2,50.0
177,142,138,1,3,33.3
178,5,5,0,0,
179,1067,914,30,50,60.0
180,315,297,1,3,33.3
181,571,538,11,22,50.0
182,321,263,4,4,100.0
183,1110,1054,48,80,60.0
184,2637,2393,45,63,71.4
185,1436,1388,2,4,50.0
186,135,130,6,6,100.0
187,865,853,10,24,41.7
188,275,235,1,2,50.0
189,959,942,10,16,62.5
190,47,42,0,0,
191,1133,1061,38,59,64.4
192,1130,898,5,8,62.5
193,1471,1452,40,62,64.5
194,345,342,6,7,85.7
195,732,715,7,17,41.2
196,138,136,11,17,64.7
197,779,769,33,42,78.6
198,45,44,0,1,0.0
199,435,426,11,17,64.7
200,1019,1016,37,78,47.4
201,518,460,3,4,75.0
202,505,423,7,20,35.0
203,498,485,4,8,50.0
204,280,271,22,45,48.9
205,42,40,0,0,
206,841,766,43,68,63.2
207,93,91,5,6,83.3
208,208,202,6,10,60.0
209,2000,1934,13,19,68.4
210,897,802,13,20,65.0
211,1951,1788,27,32,84.4
212,729,676,18,23,78.3
213,293,267,1,1,100.0
214,189,172,9,11,81.8
215,813,717,28,43,65.1
216,7,7,0,0,
217,1623,1553,8,15,53.3
218,509,499,14,19,73.7
219,6,6,0,0,
220,120,114,4,8,50.0
221,1000,924,10,13,76.9
222,1381,1022,0,0,
223,1338,1299,9,10,90.0
224,770,741,22,55,40.0
225,146,145,8,15,53.3
226,992,964,53,96,55.2
227,1298,1253,2,6,33.3
228,172,171,9,13,69.2
229,201,178,4,9,44.4
230,1939,1878,2,2,100.0
231,39,22,0,0,
232,568,557,7,7,100.0
233,48,44,1,5,20.0
234,437,367,3,7,42.9
235,94,91,10,14,71.4
236,1075,1060,22,30,73.3
237,36,28,0,0,
238,15,14,0,0,
239,933,884,50,87,57.5
240,920,896,32,50,64.0
241,837,710,16,35,45.7
242,1234,1173,40,77,51.9
243,1047,1016,17,26,65.4
244,13,13,0,0,
245,77,72,10,15,66.7
246,1064,1013,37,56,66.1
247,449,438,7,13,53.8
248,207,199,4,10,40.0
249,1263,1109,12,16,75.0
250,2864,2812,5,5,100.0
251,739,684,21,30,70.0
252,622,548,12,16,75.0
253,842,600,0,0,
254,1518,1330,8,16,50.0
255,86,80,1,3,33.3
256,2083,1971,66,82,80.5
257,315,300,0,0,
258,248,228,0,0,
259,1,1,0,0,
260,139,125,1,3,33.3
261,453,383,19,39,48.7
262,1154,986,22,37,59.5
263,482,471,6,8,75.0
264,1908,1827,27,40,67.5
265,540,527,15,25,60.0
266,77,65,1,1,100.0
267,1688,1628,39,72,54.2
268,106,98,3,8,37.5
269,1613,1513,44,78,56.4
270,2079,1769,47,71,66.2
271,1079,989,71,108,65.7
272,1652,1398,18,32,56.3
273,249,240,6,8,75.0
274,24,24,0,0,
275,497,488,14,17,82.4
276,351,339,10,26,38.5
277,115,107,2,6,33.3
278,964,657,1,1,100.0
279,11,11,0,0,
280,493,476,2,5,40.0
281,4,4,1,1,100.0
282,763,748,36,61,59.0
283,901,854,26,42,61.9
284,483,433,9,12,75.0
285,779,500,0,0,
286,1303,1183,32,49,65.3
287,69,48,2,2,100.0
288,314,306,7,11,63.6
289,1984,1578,9,26,34.6
290,137,136,9,10,90.0
291,57,53,1,1,100.0
292,950,930,1,3,33.3
293,907,854,0,2,0.0
294,508,473,6,8,75.0
295,125,116,3,6,50.0
296,1632,1576,20,38,52.6
297,1086,884,8,19,42.1
298,1422,1245,37,53,69.8
299,364,327,1,2,50.0
300,1134,1110,22,34,64.7
301,840,830,26,43,60.5
302,6,6,0,0,
303,1226,1117,26,56,46.4
304,333,323,2,6,33.3
305,1068,664,0,0,
306,978,954,52,93,55.9
307,1132,963,13,25,52.0
308,7,7,0,0,
309,1240,1209,13,16,81.3
310,1857,1817,0,0,
311,273,259,10,14,71.4
312,121,107,2,5,40.0
313,373,349,6,10,60.0
314,224,215,0,2,0.0
315,104,103,2,2,100.0
316,898,879,4,6,66.7
317,1288,1260,43,66,65.2
318,103,92,1,1,100.0
319,1381,1372,140,221,63.3
320,45,44,0,0,
321,691,650,42,54,77.8
322,1235,1218,10,12,83.3
323,887,862,27,38,71.1
324,341,330,10,18,55.6
325,44,41,0,1,0.0
326,124,122,1,1,100.0
327,803,779,13,15,86.7
328,5,5,0,0,
329,2365,2283,4,6,66.7
330,391,374,10,17,58.8
331,35,35,1,1,100.0
332,5,5,2,4,50.0
333,97,94,0,0,
334,1496,1467,7,11,63.6
335,149,147,6,15,40.0
336,95,88,3,3,100.0
337,1029,962,64,120,53.3
338,277,275,9,16,56.3
339,1141,1023,32,48,66.7
340,515,507,54,96,56.3
341,205,201,2,6,33.3
342,540,502,14,27,51.9
343,185,128,0,0,
344,889,862,11,13,84.6
345,1441,1304,15,22,68.2
346,6,6,1,1,100.0
347,421,393,16,33,48.5
348,1684,1664,12,12,100.0
349,1168,1147,6,7,85.7
350,103,102,10,15,66.7
351,1000,827,9,17,52.9
352,485,475,4,5,80.0
353,249,238,4,10,40.0
354,170,168,5,8,62.5
355,607,602,32,52,61.5
356,3,2,0,0,
357,174,166,3,8,37.5
358,1987,1949,63,90,70.0
359,242,237,0,0,
360,976,968,12,22,54.5
361,367,342,12,27,44.4
362,137,101,1,1,100.0
363,1086,989,40,77,51.9
364,1482,1449,14,18,77.8
365,25,25,0,0,
366,1072,1007,5,6,83.3
367,503,466,4,15,26.7
368,583,577,13,20,65.0
369,5,5,0,0,
370,395,383,1,2,50.0
371,236,214,13,25,52.0
372,1480,1437,5,6,83.3
373,1269,909,13,26,50.0
374,410,403,7,7,100.0
375,2492,2372,21,28,75.0
376,828,790,9,15,60.0
377,425,408,2,3,66.7
378,392,383,1,1,100.0
379,181,175,13,21,61.9
380,36,36,1,3,33.3
381,310,294,11,20,55.0
382,34,34,3,5,60.0
383,41,41,1,3,33.3
384,927,893,21,38,55.3
385,1983,1798,106,139,76.3
386,228,162,0,0,
387,1047,1021,66,106,62.3
388,515,494,7,7,100.0
389,470,441,20,33,60.6
390,10,9,0,0,
391,93,85,6,11,54.5
392,526,516,26,44,59.1
393,1102,852,0,2,0.0
394,2247,1975,25,43,58.1
395,1235,1087,20,32,62.5
396,2844,2770,22,27,81.5
397,1628,1449,6,15,40.0
398,739,461,0,0,
399,20,13,0,0,
400,1013,875,5,14,35.7
401,169,135,0,0,
402,469,450,4,5,80.0
403,177,146,0,0,
404,613,587,7,9,77.8
405,181,136,2,2,100.0
406,20,17,0,2,0.0
407,730,672,5,6,83.3
408,993,906,5,6,83.3
409,808,679,5,9,55.6
410,1551,1412,4,5,80.0
411,624,542,4,10,40.0
412,335,316,26,36,72.2
413,495,435,23,41,56.1
414,126,116,3,6,50.0
415,1207,1170,8,10,80.0
416,557,553,15,23,65.2
417,1240,1005,24,35,68.6
418,1376,1201,11,24,45.8
419,19,19,0,0,
420,531,519,2,2,100.0
421,1368,1144,12,18,66.7
422,699,680,1,1,100.0
423,1282,1246,0,0,
424,1996,1834,39,59,66.1
425,1422,1279,45,90,50.0
426,1430,1318,9,24,37.5
427,623,603,15,28,53.6
428,973,949,15,34,44.1
429,584,581,10,14,71.4
430,62,61,2,2,100.0
431,3,3,0,0,
432,662,624,16,29,55.2
433,1298,1274,14,18,77.8
434,8,8,0,0,
435,2504,2311,53,85,62.4
436,264,255,0,0,
437,267,252,10,14,71.4
438,862,849,15,25,60.0
439,204,200,7,10,70.0
440,2527,2294,47,69,68.1
441,1295,1195,46,63,73.0
442,1568,1356,10,27,37.0
443,16,15,3,4,75.0
444,1511,1479,57,94,60.6
445,1951,1570,52,76,68.4
446,1052,1009,26,39,66.7
447,1748,1671,32,44,72.7
448,369,333,15,25,60.0
449,292,268,13,22,59.1
450,1088,1008,23,41,56.1
451,468,467,6,14,42.9
452,207,192,0,0,
453,666,653,12,37,32.4
454,270,250,10,17,58.8
455,2225,2165,8,9,88.9
456,918,800,16,24,66.7
457,353,324,18,33,54.5
458,617,598,3,3,100.0
459,492,484,5,8,62.5
460,320,315,5,8,62.5
461,2739,2428,30,57,52.6
462,31,18,0,0,
463,702,686,15,17,88.2
464,2615,2571,23,33,69.7
465,570,538,15,18,83.3
466,822,798,20,40,50.0
467,1322,1181,14,25,56.0
468,1037,805,1,1,100.0
469,1192,1172,8,8,100.0
470,755,709,24,45,53.3
471,1866,1562,30,76,39.5
472,278,276,6,11,54.5
473,388,380,15,20,75.0
474,1609,1573,94,135,69.6
475,510,461,3,5,60.0
476,1157,1135,4,6,66.7
477,205,192,6,7,85.7
478,2006,1830,52,71,73.2
479,1492,1397,29,41,70.7
480,499,476,4,6,66.7
481,1,1,0,0,
482,1613,1347,19,42,45.2
483,1695,1435,28,49,57.1
484,670,649,0,2,0.0
485,189,181,9,12,75.0
486,135,128,3,3,100.0
487,314,302,4,4,100.0
488,19,19,0,1,0.0
489,1077,907,17,31,54.8
490,107,98,0,0,
491,488,465,6,14,42.9
492,1028,936,13,18,72.2
493,1171,1144,8,9,88.9
494,589,524,4,10,40.0
495,386,384,10,17,58.8
496,1140,1076,25,48,52.1
497,648,636,3,3,100.0
498,475,439,4,6,66.7
499,1344,1219,20,29,69.0
500,95,94,0,0,
501,1277,1237,13,15,86.7
502,322,315,6,8,75.0
503,155,146,1,1,100.0
504,87,83,6,9,66.7
505,480,469,13,28,46.4
506,126,125,0,0,
507,1225,1164,60,92,65.2
508,2310,2015,23,46,50.0
509,573,560,2,2,100.0
510,20,20,1,3,33.3
511,692,674,11,21,52.4
512,609,599,7,13,53.8
513,882,768,75,112,67.0
514,1449,1417,2,2,100.0
515,1066,1053,60,99,60.6
516,16,16,0,2,0.0
517,108,71,0,0,
518,1391,1234,10,12,83.3
519,853,830,9,12,75.0
520,806,547,0,0,
521,1643,1418,9,14,64.3
522,69,54,3,4,75.0
523,53,51,0,0,
524,1049,1009,4,6,66.7
525,495,471,5,7,71.4
526,11,11,0,0,
527,882,856,47,72,65.3
528,5,4,0,0,
529,4,4,0,0,
530,61,39,0,0,
531,11,11,0,0,
532,1188,993,25,39,64.1
533,583,555,4,6,66.7
534,2046,2012,6,6,100.0
535,3,3,0,0,
536,674,635,4,9,44.4
537,697,592,15,27,55.6
538,1307,1089,38,62,61.3
539,10,10,0,0,
540,68,68,4,5,80.0
541,1706,1664,6,6,100.0
542,2194,1864,45,79,57.0
543,113,66,0,0,
544,4,3,0,0,
545,628,540,7,13,53.8
546,1034,1029,60,101,59.4
547,1106,1069,4,7,57.1
548,349,334,6,16,37.5
549,1084,797,2,3,66.7
550,1236,1067,9,11,81.8
551,862,844,35,43,81.4
552,1559,1500,4,4,100.0
553,1184,1162,21,29,72.4
554,74,73,0,0,
555,233,198,6,10,60.0
556,652,645,17,32,53.1
557,738,693,26,48,54.2
558,122,117,3,5,60.0
559,105,99,1,5,20.0
560,1229,1222,26,35,74.3
561,648,629,18,31,58.1
562,890,800,22,33,66.7
563,220,202,9,21,42.9
564,942,930,41,74,55.4
565,989,957,53,83,63.9
566,628,493,5,7,71.4
567,172,141,1,2,50.0
568,68,67,4,9,44.4
569,28,21,0,0,
570,806,697,23,40,57.5
571,533,517,15,27,55.6
572,613,584,36,58,62.1
573,981,858,12,19,63.2
574,255,253,18,28,64.3
575,240,233,0,0,
576,947,634,2,2,100.0
577,597,586,14,39,35.9
578,484,473,0,0,
579,770,726,15,27,55.6
580,1153,869,0,0,
581,1071,1012,45,69,65.2
582,288,280,2,4,50.0
583,528,317,0,0,
584,1971,1581,16,38,42.1
585,1522,1309,9,11,81.8
586,1229,1201,14,17,82.4
587,62,53,0,0,
588,469,458,10,17,58.8
589,2671,2444,51,80,63.8
590,690,679,33,51,64.7
591,1819,1643,24,48,50.0
592,905,561,0,0,
593,24,23,2,2,100.0
594,231,212,11,18,61.1
595,315,308,34,43,79.1
596,156,154,7,11,63.6
597,12,11,0,0,
598,275,271,7,13,53.8
599,105,98,5,9,55.6
600,1525,1365,11,19,57.9
601,1472,1409,5,7,71.4
602,13,12,0,0,
603,352,343,19,28,67.9
604,1039,943,12,20,60.0
605,10,8,0,0,
606,29,28,1,2,50.0
607,2,2,0,0,
608,1515,1467,10,11,90.9
609,700,689,12,23,52.2
610,366,356,12,26,46.2
611,28,27,0,0,
612,467,413,9,13,69.2
613,578,572,13,17,76.5
614,7,6,0,0,
615,556,516,2,4,50.0
616,0,0,0,0,
617,78,64,0,0,
618,62,52,0,0,
619,1372,1254,14,22,63.6
620,683,655,5,6,83.3
621,206,173,3,6,50.0
622,1821,1773,10,10,100.0
623,1,1,0,0,
624,1369,1276,21,47,44.7
625,1468,1363,31,50,62.0
626,1828,1540,14,30,46.7
627,2213,1948,90,145,62.1
628,1138,968,8,15,53.3
629,1118,1097,21,34,61.8
630,224,219,9,15,60.0
631,506,487,4,5,80.0
632,1225,1197,2,2,100.0
633,2577,2305,63,97,64.9
634,850,818,2,3,66.7
635,2268,2062,55,96,57.3
636,400,350,8,11,72.7
637,1196,1015,6,14,42.9
638,881,864,14,20,70.0
639,1352,1128,15,24,62.5
640,951,924,11,22,50.0
641,452,432,12,17,70.6
642,2,2,0,0,
643,383,373,10,14,71.4
644,669,656,37,57,64.9
645,831,684,18,32,56.3
646,709,696,4,7,57.1
647,47,32,0,0,
648,672,611,4,11,36.4
649,1117,1048,28,74,37.8
650,895,882,20,24,83.3
651,807,781,23,50,46.0
652,310,286,16,31,51.6
653,358,356,0,1,0.0
654,1410,1260,35,44,79.5
655,1235,1205,12,21,57.1
656,850,835,3,4,75.0
657,1768,1725,9,13,69.2
658,1599,1583,17,21,81.0
659,229,219,8,12,66.7
660,1519,1400,7,11,63.6
661,948,876,22,35,62.9
662,640,576,34,53,64.2
663,501,480,2,2,100.0
664,875,851,12,19,63.2
665,39,39,1,1,100.0
666,42,37,3,3,100.0
667,1126,1036,63,108,58.3
668,96,93,4,6,66.7
669,387,360,5,7,71.4
670,478,439,16,28,57.1
671,2562,2291,27,41,65.9
672,1593,1452,72,136,52.9
673,579,548,30,60,50.0
674,648,641,27,45,60.0
675,947,927,72,117,61.5
676,956,930,8,8,100.0
677,805,762,6,9,66.7
678,1169,1122,17,21,81.0
679,778,739,28,53,52.8
680,1005,983,23,36,63.9
681,65,61,0,0,
682,971,879,58,110,52.7
683,116,66,0,0,
684,1111,1084,10,10,100.0
685,63,63,2,7,28.6
686,1878,1512,15,26,57.7
687,1139,1083,10,12,83.3
688,1035,1015,3,5,60.0
689,2366,1827,25,43,58.1
690,3465,3382,3,5,60.0
691,650,547,9,26,34.6
692,611,594,48,66,72.7
693,476,414,4,6,66.7
694,19,16,0,0,
695,449,438,5,9,55.6
696,192,180,4,10,40.0
697,1268,1226,4,5,80.0
698,1049,1036,6,10,60.0
699,65,64,2,2,100.0
700,1717,1685,10,14,71.4
701,505,486,1,3,33.3
702,1295,1254,11,14,78.6
